#{"t_start": 1589749273.234755, "env_id": "ct_rk_cartpole_swingupsafe_dm-v1"}
r,l,t
914.791952,2001,1536.126389
865.966046,2001,1538.657517
861.370569,2001,1540.723097
868.417554,2001,1542.756568
858.683121,2001,1544.815012
955.129157,2001,1549.490401
978.550216,2001,1551.57
938.904192,2001,1553.599226
889.2809,2001,1555.826278
905.670861,2001,1558.421897
842.390705,2001,1562.609183
846.954583,2001,1564.751285
854.978731,2001,1566.853689
876.262243,2001,1569.37473
893.078626,2001,1571.42622
964.510341,2001,1575.64987
838.018518,2001,1578.019019
918.673955,2001,1581.403312
979.432344,2001,1583.669718
906.02735,2001,1586.122086
880.61128,2001,1591.081544
933.1549,2001,1593.511358
841.98206,2001,1595.653807
860.4658,2001,1598.280975
893.520632,2001,1600.76596
828.063887,2001,1606.173637
780.96543,2001,1608.867109
772.199014,2001,1613.406761
861.980547,2001,1619.928265
852.115207,2001,1622.903414
786.995312,2001,1628.261719
840.284679,2001,1630.624453
923.369958,2001,1633.400675
824.835353,2001,1635.701922
908.001262,2001,1639.03377
754.435274,2001,1643.829848
878.090376,2001,1646.13439
793.109349,2001,1649.216412
973.377993,2001,1652.1406
937.989352,2001,1655.456866
830.873517,2001,1661.496713
1001.694722,2001,1664.118355
966.102988,2001,1666.652258
890.325922,2001,1669.19332
879.295996,2001,1671.640071
978.829129,2001,1676.456325
947.940269,2001,1679.783324
862.867459,2001,1682.057149
1001.317116,2001,1684.295919
909.259296,2001,1686.326691
943.592435,2001,1691.44559
797.838003,2001,1693.457837
1009.66036,2001,1695.501207
889.652265,2001,1697.723096
914.806541,2001,1700.210084
992.878109,2001,1704.291127
803.367769,2001,1706.338824
1039.638852,2001,1708.62944
950.45699,2001,1711.361894
838.52546,2001,1713.653932
892.601043,2001,1717.929176
1014.368487,2001,1720.164563
989.24426,2001,1723.040638
961.01482,2001,1725.414661
901.655907,2001,1727.528853
997.912124,2001,1731.788779
932.71856,2001,1734.403846
912.713699,2001,1736.443078
887.08188,2001,1738.62257
1048.429862,2001,1741.095259
1035.862571,2001,1745.513101
924.635595,2001,1748.093244
982.192003,2001,1750.10361
789.091129,2001,1752.201378
960.459086,2001,1754.228042
906.792228,2001,1759.311851
930.993668,2001,1761.433504
939.779632,2001,1763.669157
951.634545,2001,1765.986634
818.650384,2001,1768.452363
943.388301,2001,1773.026041
858.274056,2001,1775.089952
900.258989,2001,1777.227255
899.95627,2001,1779.710296
893.478822,2001,1781.7875
845.848238,2001,1785.901529
938.128063,2001,1788.044564
736.244284,2001,1790.478043
820.774926,2001,1792.635133
830.124174,2001,1794.657423
882.489807,2001,1798.812809
786.08145,2001,1802.061026
1041.326059,2001,1804.352887
896.583881,2001,1806.390245
929.529393,2001,1808.449451
909.89607,2001,1812.988587
862.22706,2001,1815.284698
892.922181,2001,1817.38775
890.661843,2001,1819.479959
866.010283,2001,1822.128896
808.407889,2001,1826.273803
893.692966,2001,1828.38749
905.756259,2001,1830.894642
866.953005,2001,1833.362022
875.836306,2001,1835.396456
902.615355,2001,1839.533286
907.689501,2001,1841.562969
